laestab,school_name,school_phase,year,total_pupils,fsm_taken
8162000,Acomb Primary School,Primary,2014,232,6
8164702,All Saints RC School,Secondary,2014,1235,46
8167032,Applefields School,Special School,2014,126,17
8164500,Archbishop Holgates CE School,Secondary,2014,1088,62
8163229,Archbishop of York's CE Junior School,Primary,2014,242,5
8162431,Badger Hill Primary School,Primary,2014,167,9999
8162386,Bishopthorpe Infant School,Primary,2014,182,9999
8162024,Burton Green Primary School,Primary,2014,202,35
8164003,Canon Lee Specialist Arts College,Secondary,2014,649,71
8162003,Carr Infant School,Primary,2014,312,40
8162002,Carr Junior School,Primary,2014,227,28
8162018,Clifton Green Primary School,Primary,2014,416,99
8162430,Clifton with Rawcliffe Primary School,Primary,2014,613,15
8162013,Copmanthorpe Primary School,Primary,2014,380,11
8162007,Dringhouses Primary School,Primary,2014,302,18
8163151,Dunnington CE Primary School,Primary,2014,233,9999
8163152,Elvington CE Primary School,Primary,2014,141,9999
8162008,Fishergate Primary School,Primary,2014,270,27
8164153,Fulford,Secondary,2014,1339,31
8162009,Haxby Road Primary Academy,Primary,2014,178,58
8162241,Headlands Primary School,Primary,2014,310,5
8162001,Hempland Primary School,Primary,2014,411,9999
8163302,Heworth CE Primary School,Primary,2014,142,8
8162028,Hob Moor Community Primary School,Primary,2014,321,76
8167033,Hob Moor Oaks School,Special School,2014,71,9
8162180,Huntington Primary School,Primary,2014,418,8
8164063,Huntington School,Secondary,2014,1456,67
8164508,Joseph Rowntree,Secondary,2014,1244,81
8162011,Knavesmire Primary School,Primary,2014,396,16
8162428,Lakeside Primary School,Primary,2014,317,21
8163158,Lord Deramores Primary School,Primary,2014,209,9999
8164602,Manor CE Academy,Secondary,2014,927,45
8164229,Millthorpe School,Secondary,2014,913,47
8163159,Naburn CE Primary School,Primary,2014,86,9999
8163901,New Earswick Primary School,Primary,2014,214,26
8162176,Osbaldwick Primary School,Primary,2014,355,54
8163904,Our Lady Queen of Martyrs Primary School,Primary,2014,451,29
8162012,Park Grove Primary School,Primary,2014,260,21
8162029,Poppleton Ousebank Primary School,Primary,2014,502,9
8162014,Poppleton Road Primary School,Primary,2014,386,43
8162058,Ralph Butterfield Primary School,Primary,2014,314,7
8163212,Robert Wilkinson Academy Primary School,Primary,2014,576,15
8162349,Rufforth Primary School,Primary,2014,75,9999
8162016,Scarcroft Primary School,Primary,2014,317,30
8162169,Skelton Primary School,Primary,2014,109,18
8163401,St Aelred's RCVA Primary,Primary,2014,212,16
8163002,St Barnabas CE Primary School,Primary,2014,150,21
8163402,St Georges RC Primary School,Primary,2014,214,16
8163305,St Lawrences CE Primary School,Primary,2014,224,40
8163222,St Mary's CE Primary School,Primary,2014,109,9999
8163156,St Oswald's Primary School,Primary,2014,302,8
8163003,St Pauls CE Primary School,Primary,2014,168,5
8163403,St Wilfrid's Primary School,Primary,2014,265,13
8162227,Stockton-on-the-Forest Primary School,Primary,2014,78,9999
8162429,Tang Hall Primary School,Primary,2014,163,42
8162017,Westfield Primary Community School,Primary,2014,563,90
8163380,Wheldrake with Thorganby C.E. (Aided) School,Primary,2014,216,9999
8162240,Wigginton Primary School,Primary,2014,286,7
8162027,Woodthorpe Primary School,Primary,2014,403,42
8162015,Yearsley Grove Primary School,Primary,2014,370,52
8164703,York High School,Secondary,2014,793,120
8162000,Acomb Primary School,Primary,2015,250,5
8164702,All Saints RC School,Secondary,2015,1271,30
8167032,Applefields School,Special School,2015,142,25
8164500,Archbishop Holgates CE School,Secondary,2015,1203,60
8163229,Archbishop of York's CE Junior School,Primary,2015,249,9999
8162431,Badger Hill Primary School,Primary,2015,169,10
8162386,Bishopthorpe Infant School,Primary,2015,185,9999
8162024,Burton Green Primary School,Primary,2015,207,36
8164003,Canon Lee Specialist Arts College,Secondary,2015,579,58
8162003,Carr Infant School,Primary,2015,317,34
8162002,Carr Junior School,Primary,2015,241,36
8162018,Clifton Green Primary School,Primary,2015,390,90
8162430,Clifton with Rawcliffe Primary School,Primary,2015,629,12
8162013,Copmanthorpe Primary School,Primary,2015,403,9
8162007,Dringhouses Primary School,Primary,2015,299,15
8163151,Dunnington CE Primary School,Primary,2015,250,9999
8163152,Elvington CE Primary School,Primary,2015,144,9999
8162008,Fishergate Primary School,Primary,2015,290,23
8164153,Fulford,Secondary,2015,1346,38
8162009,Haxby Road Primary Academy,Primary,2015,205,42
8162241,Headlands Primary School,Primary,2015,309,9999
8162001,Hempland Primary School,Primary,2015,414,6
8163302,Heworth CE Primary School,Primary,2015,133,7
8162028,Hob Moor Community Primary School,Primary,2015,315,49
8167033,Hob Moor Oaks School,Special School,2015,87,13
8162180,Huntington Primary School,Primary,2015,410,11
8164063,Huntington School,Secondary,2015,1470,59
8164508,Joseph Rowntree,Secondary,2015,1306,67
8162011,Knavesmire Primary School,Primary,2015,416,15
8162428,Lakeside Primary School,Primary,2015,322,17
8163158,Lord Deramores Primary School,Primary,2015,208,9999
8164602,Manor CE Academy,Secondary,2015,951,42
8164229,Millthorpe School,Secondary,2015,932,40
8163159,Naburn CE Primary School,Primary,2015,86,9999
8163901,New Earswick Primary School,Primary,2015,211,18
8162176,Osbaldwick Primary School,Primary,2015,347,47
8163904,Our Lady Queen of Martyrs Primary School,Primary,2015,464,22
8162012,Park Grove Primary School,Primary,2015,264,26
8162029,Poppleton Ousebank Primary School,Primary,2015,491,9999
8162014,Poppleton Road Primary School,Primary,2015,393,42
8162058,Ralph Butterfield Primary School,Primary,2015,311,9999
8163212,Robert Wilkinson Academy Primary School,Primary,2015,642,9
8162349,Rufforth Primary School,Primary,2015,76,9999
8162016,Scarcroft Primary School,Primary,2015,310,22
8162169,Skelton Primary School,Primary,2015,100,14
8163401,St Aelred's RCVA Primary,Primary,2015,199,13
8163002,St Barnabas CE Primary School,Primary,2015,143,19
8163402,St Georges RC Primary School,Primary,2015,203,17
8163305,St Lawrences CE Primary School,Primary,2015,227,40
8163222,St Mary's CE Primary School,Primary,2015,108,9999
8163156,St Oswald's Primary School,Primary,2015,298,9999
8163003,St Pauls CE Primary School,Primary,2015,170,7
8161000,St Pauls Nursery School,Nursery,2015,100,9999
8163403,St Wilfrid's Primary School,Primary,2015,271,12
8162227,Stockton-on-the-Forest Primary School,Primary,2015,89,9999
8162429,Tang Hall Primary School,Primary,2015,189,42
8162017,Westfield Primary Community School,Primary,2015,584,96
8163380,Wheldrake with Thorganby C.E. (Aided) School,Primary,2015,216,9999
8162240,Wigginton Primary School,Primary,2015,294,9999
8162027,Woodthorpe Primary School,Primary,2015,406,38
8162015,Yearsley Grove Primary School,Primary,2015,385,50
8164703,York High School,Secondary,2015,803,118
8162000,Acomb Primary School,Primary,2016,262,6
8164702,All Saints RC School,Secondary,2016,1314,31
8167032,Applefields School,Special School,2016,172,26
8163229,Archbishop of York's CE Junior School,Primary,2016,248,6
8162431,Badger Hill Primary School,Primary,2016,195,20
8162386,Bishopthorpe Infant School,Primary,2016,182,9999
8162024,Burton Green Primary School,Primary,2016,192,26
8164003,Canon Lee Specialist Arts College,Secondary,2016,509,53
8162003,Carr Infant School,Primary,2016,309,29
8162002,Carr Junior School,Primary,2016,265,28
8162018,Clifton Green Primary School,Primary,2016,414,79
8162430,Clifton with Rawcliffe Primary School,Primary,2016,655,10
8162013,Copmanthorpe Primary School,Primary,2016,405,5
8162007,Dringhouses Primary School,Primary,2016,288,17
8163151,Dunnington CE Primary School,Primary,2016,249,6
8163152,Elvington CE Primary School,Primary,2016,145,9999
8162008,Fishergate Primary School,Primary,2016,305,21
8164153,Fulford,Secondary,2016,1402,39
8162009,Haxby Road Primary Academy,Primary,2016,221,47
8162241,Headlands Primary School,Primary,2016,308,8
8162001,Hempland Primary School,Primary,2016,423,5
8163302,Heworth CE Primary School,Primary,2016,141,12
8162028,Hob Moor Community Primary School,Primary,2016,323,46
8167033,Hob Moor Oaks School,Special School,2016,94,12
8162180,Huntington Primary School,Primary,2016,412,5
8164063,Huntington School,Secondary,2016,1473,56
8164508,Joseph Rowntree,Secondary,2016,1290,64
8162011,Knavesmire Primary School,Primary,2016,457,18
8162428,Lakeside Primary School,Primary,2016,310,30
8163158,Lord Deramores Primary School,Primary,2016,198,9999
8164602,Manor CE Academy,Secondary,2016,985,47
8164229,Millthorpe School,Secondary,2016,951,60
8163159,Naburn CE Primary School,Primary,2016,81,9999
8163901,New Earswick Primary School,Primary,2016,205,16
8162176,Osbaldwick Primary School,Primary,2016,347,45
8163904,Our Lady Queen of Martyrs Primary School,Primary,2016,449,22
8162012,Park Grove Primary School,Primary,2016,266,17
8162029,Poppleton Ousebank Primary School,Primary,2016,498,7
8162014,Poppleton Road Primary School,Primary,2016,388,44
8162058,Ralph Butterfield Primary School,Primary,2016,322,9999
8163212,Robert Wilkinson Academy Primary School,Primary,2016,640,10
8162349,Rufforth Primary School,Primary,2016,85,9999
8162016,Scarcroft Primary School,Primary,2016,325,21
8162169,Skelton Primary School,Primary,2016,87,10
8163401,St Aelred's RCVA Primary,Primary,2016,212,24
8163002,St Barnabas CE Primary School,Primary,2016,150,17
8163402,St Georges RC Primary School,Primary,2016,193,15
8163305,St Lawrences CE Primary School,Primary,2016,247,31
8163222,St Mary's CE Primary School,Primary,2016,111,9999
8163156,St Oswald's Primary School,Primary,2016,309,11
8163003,St Pauls CE Primary School,Primary,2016,172,8
8161000,St Pauls Nursery School,Nursery,2016,92,9999
8163403,St Wilfrid's Primary School,Primary,2016,267,14
8162227,Stockton-on-the-Forest Primary School,Primary,2016,90,9999
8162429,Tang Hall Primary School,Primary,2016,197,40
8162017,Westfield Primary Community School,Primary,2016,581,84
8163380,Wheldrake with Thorganby C.E. (Aided) School,Primary,2016,223,9999
8162240,Wigginton Primary School,Primary,2016,277,6
8162027,Woodthorpe Primary School,Primary,2016,427,30
8162015,Yearsley Grove Primary School,Primary,2016,393,55
8164703,York High School,Secondary,2016,757,77
8162000,Acomb Primary School,Primary,2017,292,8
8164702,All Saints RC School,Secondary,2017,1346,38
8167032,Applefields School,Special School,2017,139,31
8163229,Archbishop of York's CE Junior School,Primary,2017,251,7
8162386,Bishopthorpe Infant School,Primary,2017,174,9999
8162003,Carr Infant School,Primary,2017,298,21
8162002,Carr Junior School,Primary,2017,276,39
8162018,Clifton Green Primary School,Primary,2017,423,58
8162430,Clifton with Rawcliffe Primary School,Primary,2017,658,9
8162013,Copmanthorpe Primary School,Primary,2017,394,9999
8162007,Dringhouses Primary School,Primary,2017,289,7
8163151,Dunnington CE Primary School,Primary,2017,255,7
8163152,Elvington CE Primary School,Primary,2017,148,7
8162008,Fishergate Primary School,Primary,2017,296,18
8164153,Fulford,Secondary,2017,1384,33
8162241,Headlands Primary School,Primary,2017,299,8
8162028,Hob Moor Community Primary School,Primary,2017,330,38
8167033,Hob Moor Oaks School,Special School,2017,106,15
8164063,Huntington School,Secondary,2017,1473,41
8164508,Joseph Rowntree,Secondary,2017,1267,68
8162428,Lakeside Primary School,Primary,2017,279,22
8163158,Lord Deramores Primary School,Primary,2017,202,5
8163159,Naburn CE Primary School,Primary,2017,83,9999
8163901,New Earswick Primary School,Primary,2017,189,21
8162176,Osbaldwick Primary School,Primary,2017,333,39
8163904,Our Lady Queen of Martyrs Primary School,Primary,2017,447,20
8162012,Park Grove Primary School,Primary,2017,268,18
8162014,Poppleton Road Primary School,Primary,2017,386,34
8162058,Ralph Butterfield Primary School,Primary,2017,322,5
8162349,Rufforth Primary School,Primary,2017,96,7
8162169,Skelton Primary School,Primary,2017,75,8
8163401,St Aelred's RCVA Primary,Primary,2017,225,30
8163002,St Barnabas CE Primary School,Primary,2017,155,20
8163402,St Georges RC Primary School,Primary,2017,197,12
8163305,St Lawrences CE Primary School,Primary,2017,213,31
8163222,St Mary's CE Primary School,Primary,2017,119,9999
8163156,St Oswald's Primary School,Primary,2017,313,6
8163003,St Pauls CE Primary School,Primary,2017,172,8
8163403,St Wilfrid's Primary School,Primary,2017,262,7
8162227,Stockton-on-the-Forest Primary School,Primary,2017,93,9999
8162429,Tang Hall Primary School,Primary,2017,244,29
8162017,Westfield Primary Community School,Primary,2017,589,74
8163380,Wheldrake CE (Aided) School,Primary,2017,225,9999
8162240,Wigginton Primary School,Primary,2017,273,9999
8162027,Woodthorpe Primary School,Primary,2017,439,43
8162015,Yearsley Grove Primary School,Primary,2017,394,38
8164703,York High School,Secondary,2017,737,57
